feature,anova_f,anova_p,mutual_info,random_forest,anova_rank,mi_rank,rf_rank,mean_rank
temperature_c__lag_1,41913816.58551663,0.0,3.973662896229956,0.9966903400277469,1.0,2.0,1.0,1.3333333333333333
temperature_c__lag_5,21939573.942875013,0.0,3.664735456174891,0.002656445970587578,2.0,4.0,2.0,2.6666666666666665
temperature_c_rms_30,8005946.934230895,0.0,3.4395445358837184,2.1362778454586623e-05,3.0,5.0,5.0,4.333333333333333
heat_index_proxy,245860.08488247122,0.0,4.288521136452479,0.0002650858236904922,11.0,1.0,4.0,5.333333333333333
temperature_c__roll_mean_15m,3840649.049858178,0.0,3.2713234970944045,9.296791866452913e-06,5.0,8.0,6.0,6.333333333333333
temperature_c_rms_60,2236131.362069774,0.0,3.1573326382515443,7.392653849100809e-06,6.0,9.0,7.0,7.333333333333333
temperature_c_rms_90,1022134.0298210344,0.0,3.0135825374469505,5.468858872915413e-06,7.0,12.0,8.0,9.0
temperature_c_rms_120,583066.4086067427,0.0,2.912083626827301,2.76433716086465e-06,8.0,16.0,10.0,11.333333333333334
temperature_c__lag_15,6477391.550010487,0.0,3.2830494837287336,5.560503332782921e-07,4.0,7.0,27.0,12.666666666666666
temperature_c_rms_180,263676.86682813213,0.0,2.7529088050127655,1.2281710153365128e-06,9.0,24.0,13.0,15.333333333333334
temperature_c__roll_mean_60m,262355.0546532216,0.0,2.7534426843356377,9.713621657494175e-07,10.0,23.0,16.0,16.333333333333332
temperature_c_rms_240,149955.29372230268,0.0,2.6404342645623453,1.3672529633839348e-06,12.0,27.0,12.0,17.0
solar_raw__roll_mean_360m,36432.129868091506,0.0,2.3495836873821077,6.603321669906863e-07,14.0,32.0,22.0,22.666666666666668
humidity_percent_rms_90,10151.12278569595,0.0,2.8970010724757254,4.783046282520407e-07,28.0,17.0,32.0,25.666666666666668
light_raw_rms_240,14306.499638410649,0.0,2.145572154930587,8.536069104305391e-07,19.0,43.0,17.0,26.333333333333332
light_raw__roll_std_360m,11880.77277474093,0.0,2.3367379702454363,6.325806635418032e-07,22.0,34.0,24.0,26.666666666666668
solar_raw__roll_std_360m,11663.1302100725,0.0,2.3410402440971056,5.921130710754856e-07,23.0,33.0,26.0,27.333333333333332
humidity_percent__roll_mean_15m,9980.322147938003,0.0,2.847013818792817,3.6801711764655465e-07,32.0,21.0,40.0,31.0
humidity_percent_rms_60,10052.347924302034,0.0,2.873896068464414,3.490462863337176e-07,31.0,19.0,45.0,31.666666666666668
humidity_percent_rms_240,9814.666250152173,0.0,2.9457797690461582,3.379027559547011e-07,36.0,13.0,48.0,32.333333333333336
humidity_percent_rms_30,9892.504763722858,0.0,2.819514957641683,3.3713596722604143e-07,34.0,22.0,49.0,35.0
light_raw_rms_180,11653.012683477933,0.0,2.0421232451918083,3.518042142943378e-07,24.0,46.0,44.0,38.0
